Unnamed: 0.1,Unnamed: 0,File Name,Description
0,0,S.I.PH01.01.001.jpg,الشيخ سعد الدين العلمي بمعيه وفد غزه في المسجد الاقصي بعد حرقه في التقطت بتاريخ ومصورها مجهول
1,0,S.I.PH01.01.001.jpg,تُظهِر الصورة الشيخ سعد الدين العلمي برفقة وفد غزة في المسجد الأقصى بعد حرقه، وقد التُقطت بتاريخ ومصورها مجهول.
2,0,S.I.PH01.01.001.jpg,تُقدّم هذه الصورة الشيخ سعد الدين العلمي ومعه وفد غزة في المسجد الأقصى عقب تعرضه للحرق، وهي صورة لا يُعرف تاريخ أو مصور التقاطها.
3,1,S.I.PH01.01.002.jpg,الشيخ سعد الدين العلمي متحدثا في استقبال رؤساء الطوائف المسيحيه الذين قدموا لبيته استنكارا لحرق المسجد الاقصي
4,1,S.I.PH01.01.002.jpg,يتحدث الشيخ سعد الدين العلمي خلال استقباله في بيته لرؤساء الطوائف المسيحية الذين قدموا استنكارا لحرق المسجد الأقصى.
5,1,S.I.PH01.01.002.jpg,استقبل الشيخ سعد الدين العلمي رؤساء الطوائف المسيحية في بيته الذين وفدوا استنكاراً لحرق المسجد الأقصى، وتحدث إليهم.
6,2,S.I.PH01.01.003.jpg,الشيخ سعد الدين العلمي في استقبال رؤساء الطوائف المسيحيه الذين قدموا لبيته استنكارا لحرق المسجد الاقصي
7,2,S.I.PH01.01.003.jpg,استقبل الشيخ سعد الدين العلمي في بيته رؤساء الطوائف المسيحية الذين قدموا استنكاراً لحرق المسجد الأقصى.
8,2,S.I.PH01.01.003.jpg,زار رؤساء الطوائف المسيحية منزل الشيخ سعد الدين العلمي للتنديد بحرق المسجد الأقصى.
9,3,S.I.PH01.01.004.jpg,صوره لاثار حريق المسجد الاقصي يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
10,3,S.I.PH01.01.004.jpg,صورة لآثار حريق المسجد الأقصى، يظهر أنها مستنسخة في، ومصورها مجهول.
11,3,S.I.PH01.01.004.jpg,تبدو الصورة لآثار حريق المسجد الأقصى مستنسخة في، ومصورها مجهول.
12,4,S.I.PH01.01.005.jpg,صوره لاثار حريق المسجد الاقصي يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
13,4,S.I.PH01.01.005.jpg,صورة لآثار حريق المسجد الأقصى، تبدو مستنسخة ومصورها مجهول.
14,4,S.I.PH01.01.005.jpg,هذه الصورة لآثار حريق المسجد الأقصى مستنسخة، ومصورها مجهول.
15,5,S.I.PH01.01.006.jpg,صوره لاثار حريق المسجد الاقصي يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
16,5,S.I.PH01.01.006.jpg,صورة لآثار حريق المسجد الأقصى، يوم يظهر أن الصورة مستنسخة في، ومصورها مجهول.
17,5,S.I.PH01.01.006.jpg,يظهر يوم أن الصورة مستنسخة في ومصورها مجهول، صورة لآثار حريق المسجد الأقصى.
18,6,S.I.PH01.01.007.jpg,صوره لاثار حريق المسجد الاقصي يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
19,6,S.I.PH01.01.007.jpg,صورة لآثار حريق المسجد الأقصى، تظهر أنها مستنسخة ومصورها مجهول.
20,6,S.I.PH01.01.007.jpg,صورة لآثار حريق المسجد الأقصى، يبدو أنها منسوخة ومصورها غير معروف.
21,7,S.I.PH01.01.008.jpg,صوره لقبه المسجد الاقصي تظهر اثار حرقه يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
22,7,S.I.PH01.01.008.jpg,صورة لقبة المسجد الأقصى تُبين آثار حرقها، ويوم يظهر أن الصورة مستنسخة في، ومصورها مجهول.
23,7,S.I.PH01.01.008.jpg,يوم يظهر أن الصورة مستنسخة في ومصورها مجهول، وهي صورة لقبة المسجد الأقصى تظهر آثار حرقها.
24,8,S.I.PH01.01.009.jpg,صوره لاثار حريق المسجد الاقصي يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
25,8,S.I.PH01.01.009.jpg,صورة لآثار حريق المسجد الأقصى؛ يظهر يوم أن الصورة مستنسخة في، ومصورها مجهول.
26,8,S.I.PH01.01.009.jpg,صورة لآثار حريق المسجد الأقصى، يظهر يوم كونها مستنسخة في، ومصورها مجهول.
27,9,S.I.PH01.01.010.jpg,صوره لاثار حريق المسجد الاقصي علي منبر صلاح الدين الايوبي يوم مصورها مجهول
28,9,S.I.PH01.01.010.jpg,آثار حريق المسجد الأقصى على منبر صلاح الدين الأيوبي، وتاريخ التقاط الصورة مجهول.
29,9,S.I.PH01.01.010.jpg,تلفيات حريق المسجد الأقصى على منبر صلاح الدين الأيوبي، والتاريخ الذي التقطت فيه غير معروف.
30,10,S.I.PH01.01.011.jpg,صوره لاثار حريق المسجد الاقصي علي قبته يوم ومصورها مجهول
31,10,S.I.PH01.01.011.jpg,تُظهر هذه الصورة آثار حريق المسجد الأقصى على قبته، ومصورها غير معروف.
32,10,S.I.PH01.01.011.jpg,التقط مصور مجهول هذه الصورة التي توثّق آثار الحريق على قبة المسجد الأقصى.
33,11,S.I.PH01.01.012.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
34,11,S.I.PH01.01.012.jpg,صورة تظهر آثار حريق المسجد الأقصى، التقطت في يوم ومصورها غير معلوم.
35,11,S.I.PH01.01.012.jpg,لقطة لآثار الحريق الذي طال المسجد الأقصى، بمصور وتاريخ التقاط مجهولين.
36,12,S.I.PH01.01.013.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
37,12,S.I.PH01.01.013.jpg,صورة لآثار حريق المسجد الأقصى التقطت في يوم غير معلوم، ومُصوّرها مجهول.
38,12,S.I.PH01.01.013.jpg,هذه اللقطة تُظهر بقايا حريق المسجد الأقصى من يومٍ غير محدد، وقد التقطها مصور غير معروف.
39,13,S.I.PH01.01.014.jpg,صوره لسياره اطفاء رام الله اثناء محاوله وقف حريق المسجد الاقصي يوم ومصورها مجهول
40,13,S.I.PH01.01.014.jpg,تظهر الصورة سيارة إطفاء رام الله وهي تحاول وقف حريق المسجد الأقصى في ذلك اليوم، ومصورها مجهول.
41,13,S.I.PH01.01.014.jpg,توثق الصورة سيارة إطفاء رام الله أثناء محاولتها وقف حريق المسجد الأقصى يوم وقوعه، ومصورها مجهول.
42,14,S.I.PH01.01.015.jpg,صوره لسياره اطفاء الخليل اثناء محاوله وقف حريق المسجد الاقصي يوم ومصورها مجهول
43,14,S.I.PH01.01.015.jpg,تُظهر الصورة سيارة إطفاء الخليل أثناء محاولتها إخماد حريق المسجد الأقصى يوم؛ مصورها مجهول.
44,14,S.I.PH01.01.015.jpg,لقطة لسيارة إطفاء الخليل وهي تسعى لإطفاء حريق المسجد الأقصى يوم؛ ملتقطها غير معروف.
45,15,S.I.PH01.01.016.jpg,صوره لاثار حريق المسجد الاقصي علي منبر صلاح الدين الايوبي يوم مصورها مجهول
46,15,S.I.PH01.01.016.jpg,تُظهر هذه الصورة آثار حريق المسجد الأقصى على منبر صلاح الدين الأيوبي، ومصورها وتاريخ التقاطها مجهولان.
47,15,S.I.PH01.01.016.jpg,آثار حريق المسجد الأقصى على منبر صلاح الدين الأيوبي في لقطة، ملتقطها وتاريخها مجهولان.
48,16,S.I.PH01.01.017.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
49,16,S.I.PH01.01.017.jpg,صورة تُظهر آثار حريق المسجد الأقصى من يومٍ ما، ومصورها غير معروف.
50,16,S.I.PH01.01.017.jpg,لقطة لآثار احتراق المسجد الأقصى من يومٍ ما، التقطها مصور مجهول.
51,17,S.I.PH01.01.018.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
52,17,S.I.PH01.01.018.jpg,صورة لآثار حريق المسجد الأقصى يوم وقوعه، ومصورها غير معروف.
53,17,S.I.PH01.01.018.jpg,لقطة فوتوغرافية تظهر بقايا حريق المسجد الأقصى من ذلك اليوم، التقطها شخص مجهول الهوية.
54,18,S.I.PH01.01.019.jpg,صوره تظهر وفد غزه لزياره المسجد الاقصي بعد حرقه في مصورها وتاريخها مجهولين
55,18,S.I.PH01.01.019.jpg,صورة تُظهر وفداً من غزة يزور المسجد الأقصى بعد حرقه، ومصورها وتاريخها مجهولان.
56,18,S.I.PH01.01.019.jpg,تُصوّر هذه الصورة وفداً غزّياً في زيارة للمسجد الأقصى عقب احتراقه، ولا يُعرف مصورها أو تاريخ التقاطها.
57,19,S.I.PH01.01.020.jpg,صوره للهيب حريق المسجد الاقصي يوم ومصورها مجهول
58,19,S.I.PH01.01.020.jpg,صورة للهيب حريق المسجد الأقصى يوم وقوعه، ومصورها مجهول.
59,19,S.I.PH01.01.020.jpg,صورة لهيب حريق المسجد الأقصى يوم الحادثة، ومجهول مصورها.
60,20,S.I.PH01.01.021.jpg,صوره لحريق سقف المسجد الاقصي يوم ومصورها مجهول
61,20,S.I.PH01.01.021.jpg,صورة لحريق سقف المسجد الأقصى يوم وقوعه، ومصورها مجهول.
62,20,S.I.PH01.01.021.jpg,تُظهر الصورة حريقاً بسقف المسجد الأقصى يوم الحادث، ومصورها غير معروف.
63,21,S.I.PH01.01.023.jpg,صوره لحريق سقف المسجد الاقصي يوم ومصورها مجهول
64,21,S.I.PH01.01.023.jpg,صورة لحريق سقف المسجد الأقصى من يوم وقوعه، ومصورها غير معروف.
65,21,S.I.PH01.01.023.jpg,تُظهر الصورة حريق سقف المسجد الأقصى الذي نشب ذات يوم، وملتقطها مجهول الهوية.
66,22,S.I.PH01.01.024.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
67,22,S.I.PH01.01.024.jpg,لقطة لآثار حريق المسجد الأقصى بيوم ومصورها غير معروف.
68,22,S.I.PH01.01.024.jpg,صورة لآثار حريق المسجد الأقصى ملتقطة في يوم ما، ومصورها مجهول.
69,23,S.I.PH01.01.025.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
70,23,S.I.PH01.01.025.jpg,صورة تظهر آثار حريق المسجد الأقصى من أحد الأيام، ومصورها مجهول.
71,23,S.I.PH01.01.025.jpg,التقط مصور مجهول هذه الصورة لآثار حريق المسجد الأقصى في أحد الأيام.
72,24,S.I.PH01.01.026.jpg,صوره لقبه المسجد الاقصي تظهر اثار حرقه يوم يظهر ان الصوره مستنسخه في ومصورها مجهول
73,24,S.I.PH01.01.026.jpg,صورة لقبة المسجد الأقصى تظهر آثار حريق، ويبدو أن الصورة نسخة مستنسخة ومصورها مجهول.
74,24,S.I.PH01.01.026.jpg,نسخة مستنسخة من صورة لقبة المسجد الأقصى تُظهر آثار حريق، ومصورها مجهول.
75,25,S.I.PH01.01.027.jpg,صوره لاثار حريق المسجد الاقصي يوم ومصورها مجهول
76,25,S.I.PH01.01.027.jpg,هذه الصورة تُظهر آثار حريق المسجد الأقصى الذي وقع يومًا، ومصورها مجهول.
